repositorio,metodo,rota_ou_url,arquivo_fonte,origem
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{clinica}}/clientes/{{id}},assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{clinica}}/clinicas-servicos/{{id}},assets/postman/ClinicaServicos.postman_collection.json,postman-collection
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{clinica}}/financeiros/categorias/{{id}},assets/postman/FinanceirosCategorias.postman_collection.json,postman-collection
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{clinica}}/financeiros/{{id}}?query[financeiros.tipoConta]=pagar&query[financeiros.pendente]=1,assets/postman/Financeiros.postman_collection.json,postman-collection
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{clinica}}/financeiros/{{id}}?query[financeiros.tipoConta]=receber&query[financeiros.pendente]=1,assets/postman/Financeiros.postman_collection.json,postman-collection
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{clinica}}/servico-categorias/5,assets/postman/ServicosCategorias.postman_collection.json,postman-collection
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{clinica}}/servico-materiais/{{id}},assets/postman/Servico.postman_collection.json,postman-collection
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{clinica}}/servicos/{{id}},assets/postman/Servico.postman_collection.json,postman-collection
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{clinica}}/tabelas-precos/{{id}},assets/postman/Tabela de Preços.postman_collection.json,postman-collection
sigo-clinicas-api,DELETE,{{url}}/clinicas/{{id}},assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{dev}}/clientes/73,assets/postman/Clientes.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/1/orcamentos-servicos,assets/postman/OrçamentosServicos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/1/orcamentos-servicos/10,assets/postman/OrçamentosServicos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/1/orcamentos/1,assets/postman/Orçamentos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/1/orcamentos?,assets/postman/Orçamentos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/1/profissionais,assets/postman/Profissionais.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/1/vendas,assets/postman/Vendas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/1/vendas-categorias,assets/postman/VendasCategorias.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/1/vendas-categorias/1,assets/postman/VendasCategorias.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/1/vendas/1,assets/postman/Vendas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/{{clinica}}/clientes,assets/postman/Clientes.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/clinicas/{{clinica}}/usuarios,assets/postman/Usuarios.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/profissionais,assets/postman/Profissionais.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/profissionais/9,assets/postman/Profissionais.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/profissionais/{{profissional}}/profissional-intervalos,assets/postman/ProfissionalIntervalos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/profissionais/{{profissional}}/profissional-servicos,assets/postman/ProfissionalServicos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/profissional-intervalos,assets/postman/ProfissionalIntervalos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/profissional-intervalos/1,assets/postman/ProfissionalIntervalos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/profissional-servicos,assets/postman/ProfissionalServicos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/profissional-servicos/14,assets/postman/ProfissionalServicos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/user-roles,assets/postman/UserRole.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/usuarios,assets/postman/Usuarios.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{local}}/usuarios/21,assets/postman/Usuarios.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clientes,assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clientes/me,assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clientes/{{id}},assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clientes?query[cpf_email]=11111111111,assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clientes?query[cpf_email]=roberto@hotmail.com,assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clinicas,assets/postman/Financeiros.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clinicas,assets/postman/FinanceirosCategorias.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clinicas,assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clinicas/1/servico-categorias?query[clinica.id]=1,assets/postman/ServicosCategorias.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clinicas/{{clinica}}/clientes,assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clinicas/{{clinica}}/clientes/{{id}},assets/postman/Sigo Clínicas.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clinicas/{{clinica}}/clinicas-servicos,assets/postman/ClinicaServicos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clinicas/{{clinica}}/clinicas-servicos/{{id}},assets/postman/ClinicaServicos.postman_collection.json,postman-collection
sigo-clinicas-api,GET,{{url}}/clinicas/{{clinica}}/financeiros,assets/postman/Financeiros.postman_collection.json,postman-collection
